"SP02D1003","SP02_id","SP02D1002","SP02D1001","SP02D1010","SP02D1020"
1,1,"CLES1","Residential",True,False
2,2,"CLES1","Commerical",True,False
3,3,"CLES1","AirBnb",True,False
4,4,"PAIS9","Residential",True,False
5,5,"PAIS9","Commerical",True,False
6,6,"PAIS9","AirBnb",True,False
7,7,"SMAS5","Residential",True,False
8,8,"SMAS5","Commerical",True,False
9,9,"SMAS5","AirBnb",True,False
10,10,"JUNS2","Residential",True,False
11,11,"JUNS2","Commerical",True,False
12,12,"JUNS2","AirBnb",True,False
13,13,"MOVS3","Residential",True,False
14,14,"MOVS3","Commerical",True,False
15,15,"MOVS3","AirBnb",True,False
16,16,"POSS4","Residential",True,False
17,17,"POSS4","Commerical",True,False
18,18,"POSS4","AirBnb",True,False
19,19,"FLOS6","Residential",True,False
20,20,"FLOS6","Commerical",True,False
21,21,"FLOS6","AirBnb",True,False
22,22,"EXTS7","Residential",True,False
23,23,"EXTS7","Commerical",True,False
24,24,"EXTS7","AirBnb",True,False
25,25,"LANS8","Residential",True,False
26,26,"LANS8","Commerical",True,False
27,27,"LANS8","AirBnb",True,False
