"SP03_id","SP03D1003","SP03D1006","SP03D1004","SP03D1002","SP03D1001","SP03D1012","SP03D1020","SP03D1007","SP03D1008","SP03D1010"
19,10,"P1","RESHOU","RESHOUP1","House","Residential",False,"PAIS9","PAIS9-RESHOUP1",True
20,11,"P2","RESCON","RESCONP2","Condo-Apartment","Residential",False,"PAIS9","PAIS9-RESCONP2",True
21,12,"P3","COMRES","COMRESP3","Restaurant","Commercial",False,"PAIS9","PAIS9-COMRESP3",True
22,13,"P4","COMOFF","COMOFFP4","Office","Commercial",False,"PAIS9","PAIS9-COMOFFP4",True
23,14,"P5","COMEVE","COMEVEP5","Event","Commercial",False,"PAIS9","PAIS9-COMEVEP5",True
24,15,"P6","COMWAR","COMWARP6","Warehouse","Commercial",False,"PAIS9","PAIS9-COMWARP6",True
25,16,"P7","COMPRO","COMPROP7","Production Site","Commercial",False,"PAIS9","PAIS9-COMPROP7",True
26,17,"P8","AIRHOU","AIRHOUP8","House","AirBnb",False,"PAIS9","PAIS9-AIRHOUP8",True
27,18,"P9","AIRCON","AIRCONP9","Condo-Apartment","AirBnb",False,"PAIS9","PAIS9-AIRCONP9",True
28,19,"P1","RESHOU","RESHOUP1","House","Residential",False,"SMAS5","SMAS5-RESHOUP1",True
29,20,"P2","RESCON","RESCONP2","Condo-Apartment","Residential",False,"SMAS5","SMAS5-RESCONP2",True
30,21,"P3","COMRES","COMRESP3","Restaurant","Commercial",False,"SMAS5","SMAS5-COMRESP3",True
31,22,"P4","COMOFF","COMOFFP4","Office","Commercial",False,"SMAS5","SMAS5-COMOFFP4",True
32,23,"P5","COMEVE","COMEVEP5","Event","Commercial",False,"SMAS5","SMAS5-COMEVEP5",True
33,24,"P6","COMWAR","COMWARP6","Warehouse","Commercial",False,"SMAS5","SMAS5-COMWARP6",True
34,25,"P7","COMPRO","COMPROP7","Production Site","Commercial",False,"SMAS5","SMAS5-COMPROP7",True
35,26,"P8","AIRHOU","AIRHOUP8","House","AirBnb",False,"SMAS5","SMAS5-AIRHOUP8",True
36,27,"P9","AIRCON","AIRCONP9","Condo-Apartment","AirBnb",False,"SMAS5","SMAS5-AIRCONP9",True
37,28,"P1","RESHOU","RESHOUP1","House","Residential",False,"JUNS2","JUNS2-RESHOUP1",True
38,29,"P2","RESCON","RESCONP2","Condo-Apartment","Residential",False,"JUNS2","JUNS2-RESCONP2",True
39,30,"P3","COMRES","COMRESP3","Restaurant","Commercial",False,"JUNS2","JUNS2-COMRESP3",True
40,31,"P4","COMOFF","COMOFFP4","Office","Commercial",False,"JUNS2","JUNS2-COMOFFP4",True
41,32,"P5","COMEVE","COMEVEP5","Event","Commercial",False,"JUNS2","JUNS2-COMEVEP5",True
42,33,"P6","COMWAR","COMWARP6","Warehouse","Commercial",False,"JUNS2","JUNS2-COMWARP6",True
43,34,"P7","COMPRO","COMPROP7","Production Site","Commercial",False,"JUNS2","JUNS2-COMPROP7",True
44,35,"P8","AIRHOU","AIRHOUP8","House","AirBnb",False,"JUNS2","JUNS2-AIRHOUP8",True
45,36,"P9","AIRCON","AIRCONP9","Condo-Apartment","AirBnb",False,"JUNS2","JUNS2-AIRCONP9",True
46,37,"P1","RESHOU","RESHOUP1","House","Residential",False,"MOVS3","MOVS3-RESHOUP1",True
47,38,"P2","RESCON","RESCONP2","Condo-Apartment","Residential",False,"MOVS3","MOVS3-RESCONP2",True
48,39,"P3","COMRES","COMRESP3","Restaurant","Commercial",False,"MOVS3","MOVS3-COMRESP3",True
49,40,"P4","COMOFF","COMOFFP4","Office","Commercial",False,"MOVS3","MOVS3-COMOFFP4",True
50,41,"P5","COMEVE","COMEVEP5","Event","Commercial",False,"MOVS3","MOVS3-COMEVEP5",True
51,42,"P6","COMWAR","COMWARP6","Warehouse","Commercial",False,"MOVS3","MOVS3-COMWARP6",True
