"SP04_id","SP04D1003","SP04D1002","SP04D1005","SP04D1007","SP04D1008","SP04D1004","SP04D1006","SP04D1014","SP04D1012","SP04D1013","SP04D1001","SP04D1009","SP04D1010"
18,18,"COMRESP3-PARR18","COMRES","P3","COMRESP3","PAR","R18","PARR18","Commercial","Restaurant","Parking Lot","{}",True
19,19,"COMOFFP4-KITR19","COMOFF","P4","COMOFFP4","KIT","R19","KITR19","Commercial","Office","Kitchen","{General,Deep}",True
20,20,"COMOFFP4-BATR20","COMOFF","P4","COMOFFP4","BAT","R20","BATR20","Commercial","Office","Bathroom","{}",True
21,21,"COMOFFP4-LANR21","COMOFF","P4","COMOFFP4","LAN","R21","LANR21","Commercial","Office","Landscape","{}",True
22,22,"COMOFFP4-PARR22","COMOFF","P4","COMOFFP4","PAR","R22","PARR22","Commercial","Office","Parking Lot","{}",True
23,23,"COMOFFP4-LOBR23","COMOFF","P4","COMOFFP4","LOB","R23","LOBR23","Commercial","Office","Lobby","{}",True
24,48,"COMOFFP4-BRER48","COMOFF","P4","COMOFFP4","BRE","R48","BRER48","Commercial","Office","Breakroom","{}",True
25,49,"COMOFFP4-WORR49","COMOFF","P4","COMOFFP4","WOR","R49","WORR49","Commercial","Office","Work Stations","{}",True
26,24,"COMEVEP5-KITR24","COMEVE","P5","COMEVEP5","KIT","R24","KITR24","Commercial","Event","Kitchen","{General,Deep}",True
27,25,"COMEVEP5-DINR25","COMEVE","P5","COMEVEP5","DIN","R25","DINR25","Commercial","Event","Dining Space","{}",True
28,26,"COMEVEP5-BATR26","COMEVE","P5","COMEVEP5","BAT","R26","BATR26","Commercial","Event","Bathroom","{}",True
29,27,"COMEVEP5-LANR27","COMEVE","P5","COMEVEP5","LAN","R27","LANR27","Commercial","Event","Landscape","{}",True
30,28,"COMEVEP5-PARR28","COMEVE","P5","COMEVEP5","PAR","R28","PARR28","Commercial","Event","Parking Lot","{}",True
31,29,"COMWARP6-BATR29","COMWAR","P6","COMWARP6","BAT","R29","BATR29","Commercial","Warehouse","Bathroom","{}",True
32,30,"COMWARP6-KITR30","COMWAR","P6","COMWARP6","KIT","R30","KITR30","Commercial","Warehouse","Kitchen","{General,Deep}",True
33,31,"COMWARP6-BRER31","COMWAR","P6","COMWARP6","BRE","R31","BRER31","Commercial","Warehouse","Breakroom","{}",True
34,32,"COMPROP7-BATR32","COMPRO","P7","COMPROP7","BAT","R32","BATR32","Commercial","Production Site","Bathroom","{}",True
1,1,"RESHOUP1-GARR1","RESHOU","P1","RESHOUP1","GAR","R1","GARR1","Residential","House","Garage","{}",True
2,2,"RESHOUP1-KITR2","RESHOU","P1","RESHOUP1","KIT","R2","KITR2","Residential","House","Kitchen","{General,Deep}",True
