SP06_id,SP06D1003,SP06D1004,SP06D1002,SP06D1005,SP06D1001,SP06D1010,SP06D1020,SP06D1011
1,1,Canada,Ontario,Province,Toronto,TRUE,FALSE,CA
2,2,Canada,Ontario,Province,Ottawa,TRUE,FALSE,CA
3,3,Canada,Ontario,Province,Mississauga,TRUE,FALSE,CA
4,4,Canada,Ontario,Province,Brampton,TRUE,FALSE,CA
5,5,Canada,Ontario,Province,Hamilton,TRUE,FALSE,CA
6,6,Canada,Ontario,Province,London,TRUE,FALSE,CA
7,7,Canada,Ontario,Province,Markham,TRUE,FALSE,CA
8,8,Canada,Ontario,Province,Vaughan,TRUE,FALSE,CA
9,9,Canada,Ontario,Province,Kitchener,TRUE,FALSE,CA
10,10,Canada,Ontario,Province,Windsor,TRUE,FALSE,CA
11,11,Canada,Ontario,Province,Richmond Hill,TRUE,FALSE,CA
12,12,Canada,Ontario,Province,Burlington,TRUE,FALSE,CA
13,13,Canada,Ontario,Province,Oshawa,TRUE,FALSE,CA
14,14,Canada,Ontario,Province,Greater Sudbury,TRUE,FALSE,CA
15,15,Canada,Ontario,Province,Barrie,TRUE,FALSE,CA
16,16,Canada,Ontario,Province,Guelph,TRUE,FALSE,CA
17,17,Canada,Ontario,Province,Cambridge,TRUE,FALSE,CA
18,18,Canada,Ontario,Province,St. Catharines,TRUE,FALSE,CA
19,19,Canada,Ontario,Province,Waterloo,TRUE,FALSE,CA
20,20,Canada,Ontario,Province,Thunder Bay,TRUE,FALSE,CA
21,21,Canada,Ontario,Province,Brantford,TRUE,FALSE,CA
22,22,Canada,Ontario,Province,Pickering,TRUE,FALSE,CA
23,23,Canada,Ontario,Province,Niagara Falls,TRUE,FALSE,CA
24,24,Canada,Ontario,Province,Peterborough,TRUE,FALSE,CA
25,25,Canada,Ontario,Province,Sault Ste. Marie,TRUE,FALSE,CA
26,26,Canada,Ontario,Province,Sarnia,TRUE,FALSE,CA
27,27,Canada,Ontario,Province,Norfolk County,TRUE,FALSE,CA
28,28,Canada,Ontario,Province,Welland,TRUE,FALSE,CA
29,29,Canada,Ontario,Province,Belleville,TRUE,FALSE,CA
30,30,Canada,Ontario,Province,North Bay,TRUE,FALSE,CA
